,Degree,Closeness Centrality,Betweenness Centrality,Eccentricity,Page Rank,Eigen Value Centrality,Death
Addam-Marbrand,5,0.003676471,25.72425801,7,0.00081474,0.026102152,0
Aegon-Frey-(son-of-Stevron),4,0.003703704,0,6,0.00041059,0.004546066,1
Aegon-I-Targaryen,3,0.003236246,0,6,0.001100033,0.009154572,1
Aegon-Targaryen-(son-of-Rhaegar),1,0.002469136,0,7,0.002095285,0.029625865,1
Aegon-V-Targaryen,19,0.004587156,443.0135843,6,0.000255738,0.000527733,1
Aemon-Targaryen-(Dragonknight),6,0.003831418,3.495468214,7,0.000220606,0.001775769,1
Aemon-Targaryen-(Maester-Aemon),4,0.002695418,105,5,0.005212162,0.083890861,1
Aenys-Frey,6,0.003194888,3.389760739,7,0.000587243,0.002909659,0
Aeron-Greyjoy,14,0.003968254,350.6873758,7,0.00446216,0.003385025,0
Aerys-I-Targaryen,7,0.003663004,8.556744846,6,0.000215347,0.002336773,1
Aerys-II-Targaryen,4,0.003257329,0.583333333,6,0.002869167,0.091222167,1
Aggar,8,0.003546099,26.30650391,7,0.00110902,0.000129455,0
Aggo,18,0.004166667,272.161237,7,0.001518524,0.003896543,0
Alayaya,20,0.0041841,148.843899,7,0.000547523,0.010918625,0
Albett,5,0.003134796,105,6,0.000332519,0.002387682,0
Alebelly,4,0.00255102,0.333333333,6,0.000452308,0.002782672,0
Alerie-Hightower,14,0.003448276,874.8372111,7,0.000245548,0.000973833,0
Alester-Florent,5,0.003134796,312,6,0.000741937,0.006159167,0
Alla-Tyrell,12,0.004347826,107.6349826,7,0.000756021,0.004919478,0
Allar-Deem,3,0.00310559,0,6,0.000257157,0.004496223,0
Allard-Seaworth,8,0.003496503,35.15540317,6,0.000494908,0.001673824,0
Alleras,4,0.003144654,0,6,0.001729903,0.001682167,0
Alliser-Thorne,4,0.003125,0,5,0.001929448,0.056961389,1
Alyn,12,0.003802281,32.7217293,6,0.000539317,0.01233337,0
Alys-Arryn,4,0.003194888,12.20809267,7,0.000648561,0.000351358,0
Alys-Karstark,3,0.002967359,1.35025641,6,0.000501595,0.006571703,1
Alysane-Mormont,4,0.00255102,1,6,0.000716319,0.002434214,0
Amabel,24,0.004524887,556.1852523,7,0.00043193,0.002429265,0
Amerei-Frey,6,0.003731343,131.1036732,7,0.000413608,0.004476182,1
Amory-Lorch,18,0.004149378,141.5407634,7,0.001229904,0.024691194,1
Anders-Yronwood,4,0.00295858,2.261904762,8,0.000280012,0.000274199,0
Andrew-Estermont,26,0.004524887,1279.753353,7,0.000589354,0.000357898,0
Andrey-Dalt,2,0.003257329,3.20799062,7,0.0008306,0.000500285,0
Anguy,6,0.002717391,12.96584412,7,0.001296439,0.007596576,0
Anya-Waynwood,6,0.003584229,106.9588272,7,0.001146709,0.003782824,0
Archibald-Yronwood,9,0.003676471,21.0398865,8,0.000916235,0.000224606,0
Ardrian-Celtigar,5,0.003164557,3.673192663,7,0.000432125,7.87E-06,0
Areo-Hotah,2,0.002808989,0,7,0.001859237,0.002513746,1
Arianne-Martell,10,0.003703704,84.67234484,7,0.003806192,0.003462573,0
Armen,12,0.003378378,40.49072503,7,0.001044808,1.37E-05,0
Arnolf-Karstark,5,0.003194888,11.08691003,6,0.000703672,0.003082239,1
Aron-Santagar,4,0.003460208,47.90724047,7,0.000214777,0.000727841,0
Arron,7,0.003412969,1.441374269,7,0.000520339,0.000134402,0
Arson,2,0.002538071,0,6,0.000221467,0.001397065,0
Arstan,4,0.003508772,3.470318304,7,0.001308197,0.004128043,0
Arthur-Dayne,7,0.003333333,108.9634921,7,0.001054806,0.000772959,1
Arwyn-Oakheart,5,0.003558719,4.651775284,6,0.000235274,3.20E-05,0
Arya-Stark,4,0.003095975,0,6,0.01857171,0.385352249,0
Arys-Oakheart,8,0.003921569,23.52841297,7,0.001187249,0.013572165,0
Asha-Greyjoy,6,0.003355705,40.69501861,6,0.005611278,0.016986601,0
Ashara-Dayne,2,0.003115265,0,8,0.000231146,5.20E-05,0
Aurane-Waters,6,0.003571429,4.244047619,6,0.000578963,0.0129597,0
Axell-Florent,25,0.004608295,706.5572832,6,0.001523918,0.015721584,0
Azor-Ahai,18,0.004716981,1165.602517,6,0.000255395,0.002508139,0
Bael-the-Bard,3,0.003246753,0,7,0.00025028,0.000209925,0
Baelor-Blacktyde,4,0.003378378,1.46337185,7,0.000538829,0.000116868,0
Baelor-I-Targaryen,15,0.003623188,179.5971781,7,0.00031666,0.013320448,1
Ballabar,13,0.003937008,78.81308256,7,0.000618048,0.016966138,0
Balman-Byrch,26,0.004807692,705.1985624,7,0.000466959,0.00850848,0
Balon-Greyjoy,5,0.003508772,6.96957758,6,0.002935212,0.027543768,1
Balon-Swann,1,0.002358491,0,7,0.001197025,0.036865829,0
Bannen,14,0.004524887,571.5247305,7,0.000373823,0.001864015,0
